"rank" "feature_density_pos" "weighted_feature_density_pos" 
0.04615 0.6871 0.8103
0.04625 0.6846 0.8084
0.04634 0.6871 0.8096
0.04643 0.6865 0.8103
0.04653 0.6846 0.8090
0.04662 0.6858 0.8077
0.04672 0.6852 0.8103
0.04681 0.6858 0.8096
0.04691 0.6859 0.8090
0.04700 0.6858 0.8096
0.04709 0.6852 0.8090
0.04719 0.6858 0.8109
0.04728 0.6846 0.8084
0.04738 0.6871 0.8090
0.04747 0.6852 0.8096
0.04757 0.6859 0.8103
0.04766 0.6858 0.8096
0.04776 0.6852 0.8090
0.04785 0.6858 0.8084
0.04794 0.6859 0.8097
0.04804 0.6852 0.8103
0.04813 0.6858 0.8096
0.04823 0.6859 0.8090
0.04832 0.6852 0.8084
0.04842 0.6859 0.8103
0.04851 0.6858 0.8096
0.04860 0.6846 0.8084
0.04870 0.6871 0.8096
0.04879 0.6852 0.8103
0.04889 0.6859 0.8090
0.04898 0.6858 0.8096
0.04908 0.6852 0.8084
0.04917 0.6858 0.8096
0.04927 0.6859 0.8103
0.04936 0.6852 0.8090
0.04945 0.6871 0.8084
0.04955 0.6846 0.8096
0.04964 0.6852 0.8103
0.04974 0.6859 0.8084
0.04983 0.6858 0.8096
0.04993 0.6859 0.8090
0.05002 0.6858 0.8109
0.05012 0.6852 0.8084
0.05021 0.6858 0.8103
0.05030 0.6859 0.8090
0.05040 0.6852 0.8096
0.05049 0.6858 0.8084
0.05059 0.6846 0.8103
0.05068 0.6865 0.8084
0.05078 0.6859 0.8097
0.05087 0.6858 0.8103
0.05096 0.6852 0.8097
0.05106 0.6858 0.8103
0.05115 0.6859 0.8071
0.05125 0.6858 0.8096
0.05134 0.6858 0.8115
0.05144 0.6852 0.8090
0.05153 0.6858 0.8077
0.05163 0.6852 0.8090
0.05172 0.6858 0.8103
0.05181 0.6859 0.8109
0.05191 0.6858 0.8071
0.05200 0.6859 0.8097
0.05210 0.6852 0.8103
0.05219 0.6858 0.8090
0.05229 0.6859 0.8097
0.05238 0.6865 0.8084
0.05247 0.6846 0.8103
0.05257 0.6858 0.8084
0.05266 0.6852 0.8103
0.05276 0.6858 0.8084
0.05285 0.6859 0.8109
0.05295 0.6852 0.8090
0.05304 0.6858 0.8096
0.05314 0.6859 0.8084
0.05323 0.6846 0.8103
0.05332 0.6871 0.8097
0.05342 0.6852 0.8090
0.05351 0.6846 0.8097
0.05361 0.6871 0.8084
0.05370 0.6852 0.8103
0.05380 0.6858 0.8096
0.05389 0.6858 0.8090
0.05398 0.6852 0.8084
0.05408 0.6871 0.8096
0.05417 0.6846 0.8103
0.05427 0.6852 0.8096
0.05436 0.6859 0.8090
0.05446 0.6871 0.8084
0.05455 0.6846 0.8103
0.05465 0.6858 0.8096
0.05474 0.6852 0.8103
0.05483 0.6871 0.8084
0.05493 0.6846 0.8096
0.05502 0.6852 0.8090
0.05512 0.6858 0.8096
0.05521 0.6859 0.8084
0.05531 0.6852 0.8103
0.05540 0.6871 0.8084
0.05549 0.6846 0.8103
0.05559 0.6858 0.8109
0.05568 0.6865 0.8084
0.05578 0.6846 0.8090
0.05587 0.6871 0.8097
0.05597 0.6846 0.8090
0.05606 0.6852 0.8084
0.05616 0.6871 0.8109
0.05625 0.6846 0.8090
0.05634 0.6852 0.8103
0.05644 0.6871 0.8077
0.05653 0.6834 0.8090
0.05663 0.6871 0.8109
0.05672 0.6865 0.8103
0.05682 0.6846 0.8084
